# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
453.5000 M4 154 1 270.9000 s15 sink2 3595 N s15->sink0
483.8000 M6 183 1 196.1000 s14 sink9 3596 N s14->sink1
560.3000 M10 147 1 135.2000 s10 sink8 3597 N s10->sink1
560.4000 M2 169 1 393.3000 s10 sink3 3593 N s10->sink1
941.9000 M7 132 2 613.0000 s11 sink8 3589 N s11->s14->sink8
942.0000 M1 122 2 824.3000 s11 sink9 3586 N s11->s14->sink8
942.1000 M12 101 2 329.2000 s13 sink2 3594 N s13->s14->sink8
942.2000 M14 100 1 97.3000 s14 sink9 3598 N s14->sink8
1187.9000 M16 140 2 291.7000 s11 sink0 3595 N s11->s16->sink7
1188.0000 M13 186 2 439.5000 s11 sink3 3592 N s11->s16->sink7
1188.1000 M9 110 2 774.4000 s17 sink3 3587 N s17->s16->sink7
2084.1000 M3 157 1 1907.3000 s19 sink9 3568 N s19->sink0
2084.2000 M28 102 2 495.9000 s12 sink4 3591 N s12->s19->sink0
2084.3000 M19 186 4 911.2000 s10 sink2 3584 N s10->s17->s12->s19->sink0
2084.4000 M20 171 1 856.1000 s19 sink4 3585 N s19->sink0
2084.5000 M17 147 1 1049.3000 s19 sink3 3582 N s19->sink0
2084.6000 M18 127 3 1004.5000 s17 sink5 3583 N s17->s12->s19->sink0
2084.7000 M22 171 2 826.1000 s18 sink9 3586 N s18->s19->sink0
2084.8000 M5 171 1 1800.7000 s19 sink9 3569 N s19->sink0
2084.9000 M8 121 1 1699.6000 s19 sink1 3571 N s19->sink0
2085.0000 M21 107 3 829.5000 s17 sink1 3586 N s17->s12->s19->sink0
2085.1000 M11 177 1 1590.5000 s19 sink3 3573 N s19->sink0
2197.1000 M15 141 2 1341.4000 s13 sink3 3577 N s13->s11->sink0
2197.2000 M23 134 2 882.1000 s13 sink9 3585 N s13->s11->sink0
2197.3000 M30 190 1 320.3000 s11 sink5 3594 N s11->sink0
2197.4000 M24 172 1 861.4000 s11 sink9 3585 N s11->sink0
2258.1000 M25 197 1 878.0000 s10 sink9 3585 N s10->sink7
2258.2000 M27 116 2 709.8000 s15 sink4 3588 N s15->s10->sink7
2579.8000 M26 165 1 1115.2000 s17 sink1 3581 N s17->sink8
2579.9000 M34 180 1 397.2000 s17 sink5 3593 N s17->sink8
2580.0000 M29 117 1 975.9000 s17 sink3 3583 N s17->sink8
2580.1000 M33 140 2 543.5000 s18 sink7 3590 N s18->s17->sink8
2580.2000 M37 101 1 168.2000 s17 sink3 3597 N s17->sink8
2580.3000 M31 122 2 698.6000 s18 sink8 3588 N s18->s17->sink8
2580.4000 M32 163 1 585.3000 s17 sink4 3590 N s17->sink8
2856.1000 M40 140 3 267.8000 s13 sink0 3595 N s13->s11->s16->sink2
2856.2000 M35 143 3 583.0000 s13 sink9 3590 N s13->s11->s16->sink2
2856.3000 M41 110 2 230.0000 s11 sink0 3596 N s11->s16->sink2
3652.1000 M36 105 1 1277.5000 s18 sink6 3578 N s18->sink4
3652.2000 M54 154 1 135.2000 s18 sink0 3597 N s18->sink4
3652.3000 M49 138 1 377.2000 s18 sink2 3593 N s18->sink4
